file_name peak_id t r sid col
BD18_1411061819_ims.csv 74 0.49716 6.49 5 #ED8ECB
BD18_1411061819_ims.csv 12 0.58186 8.003 5 #7B2FD1
BD18_1411061819_ims.csv 10 0.53603 8.534 5 #2BE093
BD18_1411061819_ims.csv 12 0.54879 7.473 5 #7B2FD1
BD18_1411061819_ims.csv 46 0.50876 11.482 5 #9B7048
BD18_1411061819_ims.csv 51 0.59753 23.416 5 #407A5C
BD18_1411061819_ims.csv 65 0.449 10.484 5 #079670
BD18_1411061819_ims.csv 38 0.45248 5.96 5 #7FC8C0
BD18_1411061819_ims.csv 48 0.81277 27.347 5 #C5AE95
BD18_1411061819_ims.csv 30 0.76056 31.902 5 #CCDABC
BD18_1411061819_ims.csv 75 0.80349 31.356 5 #BF5C9E
BD18_1411061819_ims.csv 75 0.87485 31.356 5 #BF5C9E
BD18_1411061819_ims.csv 75 0.88008 31.356 5 #BF5C9E
BD18_1411061819_ims.csv 75 0.81916 30.92 5 #BF5C9E
BD18_1411061819_ims.csv 75 0.82438 30.92 5 #BF5C9E
BD18_1411061819_ims.csv 48 0.91779 27.347 5 #C5AE95
BD18_1411061819_ims.csv 15 0.84701 28.938 5 #EDD2E7
BD18_1411061819_ims.csv 76 0.68688 32.823 5 #3FC5A9
BD18_1411061819_ims.csv 40 0.64452 22.433 5 #C0ECE7
BD18_1411061819_ims.csv 47 0.64394 26.364 5 #31C228
BD18_1411061819_ims.csv 30 0.64336 32.37 5 #CCDABC
BD18_1411061819_ims.csv 77 0.90676 92.571 5 #31E0F7
BD18_1411061819_ims.csv 56 1.00133 94.521 5 #91B26F
BD18_1411061819_ims.csv 56 1.03382 94.521 5 #91B26F
BD18_1411061819_ims.csv 56 1.04543 94.521 5 #91B26F
BD18_1411061819_ims.csv 77 0.90038 92.571 5 #31E0F7
BD18_1411061819_ims.csv 69 0.9671 96.034 5 #A7DC49
BD18_1411061819_ims.csv 69 1.05239 96.034 5 #A7DC49
BD18_1411061819_ims.csv 69 1.11853 96.034 5 #A7DC49
BD18_1411061819_ims.csv 34 1.01352 96.564 5 #D68295
BD18_1411061819_ims.csv 69 0.95028 96.034 5 #A7DC49
BD18_1411061819_ims.csv 69 0.95608 96.034 5 #A7DC49
BD18_1411061819_ims.csv 58 0.94622 98.078 5 #960883
BD18_1411061819_ims.csv 69 1.10286 96.034 5 #A7DC49
BD18_1411061819_ims.csv 70 1.02976 97.547 5 #7CCE38
BD18_1411061819_ims.csv 69 1.11505 96.034 5 #A7DC49
BD18_1411061819_ims.csv 58 0.9613 98.078 5 #960883
BD18_1411061819_ims.csv 58 1.09822 98.078 5 #960883
BD18_1411061819_ims.csv 58 1.06921 98.078 5 #960883
BD18_1411061819_ims.csv 34 1.07734 96.564 5 #D68295
BD18_1411061819_ims.csv 71 1.08894 97.095 5 #3A5D16
BD18_1411061819_ims.csv 69 1.14116 96.034 5 #A7DC49
BD18_1411061819_ims.csv 69 1.08372 96.034 5 #A7DC49
BD18_1411061819_ims.csv 69 0.98045 96.034 5 #A7DC49
BD18_1411061819_ims.csv 78 0.92533 101.463 5 #A9A22D
BD18_1411061819_ims.csv 37 0.88994 116.392 5 #12EB05
BD18_1411061819_ims.csv 79 0.60913 124.379 5 #A3EC89
BD18_1411061819_ims.csv 80 0.60855 103.507 5 #A95EEC
BD18_1411061813_ims.csv 1 0.47917 0 6 #B3D6C8
BD18_1411061813_ims.csv 1 0.50296 0 6 #B3D6C8
BD18_1411061813_ims.csv 6 0.89864 3.541 6 #B04473
BD18_1411061813_ims.csv 6 0.79595 3.541 6 #B04473
BD18_1411061813_ims.csv 8 0.58766 3.978 6 #9CC9CA
BD18_1411061813_ims.csv 6 0.63582 3.011 6 #B04473
BD18_1411061813_ims.csv 5 0.69036 3.978 6 #45F6F8
BD18_1411061813_ims.csv 38 0.45248 5.944 6 #7FC8C0
BD18_1411061813_ims.csv 12 0.58186 7.987 6 #7B2FD1
BD18_1411061813_ims.csv 74 0.49658 6.474 6 #ED8ECB
BD18_1411061813_ims.csv 12 0.53661 7.987 6 #7B2FD1
BD18_1411061813_ims.csv 12 0.54879 7.55 6 #7B2FD1
BD18_1411061813_ims.csv 81 0.50876 11.45 6 #1A4555
BD18_1411061813_ims.csv 29 0.51108 21.965 6 #F1E6FD
BD18_1411061813_ims.csv 29 0.44668 21.419 6 #F1E6FD
BD18_1411061813_ims.csv 39 0.44726 13.385 6 #8DF2BA
BD18_1411061813_ims.csv 49 0.88936 28.361 6 #21E96F
BD18_1411061813_ims.csv 49 0.7768 28.361 6 #21E96F
BD18_1411061813_ims.csv 15 0.81974 28.891 6 #EDD2E7
BD18_1411061813_ims.csv 49 0.79885 28.361 6 #21E96F
BD18_1411061813_ims.csv 49 0.8998 28.361 6 #21E96F
BD18_1411061813_ims.csv 49 0.79131 28.361 6 #21E96F
BD18_1411061813_ims.csv 67 0.80465 29.874 6 #E6FE79
BD18_1411061813_ims.csv 15 0.84701 29.422 6 #EDD2E7
BD18_1411061813_ims.csv 82 0.89632 30.405 6 #F59C1A
BD18_1411061813_ims.csv 48 0.71821 27.909 6 #C5AE95
BD18_1411061813_ims.csv 49 0.7623 28.361 6 #21E96F
BD18_1411061813_ims.csv 49 0.78319 28.361 6 #21E96F
BD18_1411061813_ims.csv 15 0.81626 28.891 6 #EDD2E7
BD18_1411061813_ims.csv 67 0.87775 29.874 6 #E6FE79
BD18_1411061813_ims.csv 15 0.88182 28.891 6 #EDD2E7
BD18_1411061813_ims.csv 49 0.91779 28.361 6 #21E96F
BD18_1411061813_ims.csv 47 0.68688 27.3 6 #31C228
BD18_1411061813_ims.csv 49 0.64336 28.361 6 #21E96F
BD18_1411061813_ims.csv 83 0.4461 48.267 6 #4A2803
BD18_1411061813_ims.csv 84 0.4461 35.818 6 #9495F5
